start_time,Airln_cd_8L,Airln_cd_A6,Airln_cd_DR,Airln_cd_KY,Flt_nbr_6521,Flt_nbr_6523,Flt_nbr_7101,Flt_nbr_8239,Flt_nbr_8291,Flt_nbr_8321,Flt_nbr_961,Flt_nbr_9895,Flt_nbr_9945,Flt_nbr_9947,AirCrft_Typ_319,AirCrft_Typ_320,AirCrft_Typ_321,AirCrft_Typ_330,AirCrft_Typ_737,Cls_Cd_Y,Pax_Qty_y,ds,y
2019-01-15 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.47577092511013214,2019-01-15 07:05:00,-0.09455930280333533
2019-01-15 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9074889867841411,2019-01-15 09:30:00,-0.6537398938425915
2019-01-15 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3744493392070484,2019-01-15 18:20:00,0.8276069066021648
2019-01-15 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.5154185022026432,2019-01-15 23:20:00,-0.7366922136461969
2019-01-16 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5154185022026432,2019-01-16 07:05:00,0.08242041287912312
2019-01-16 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.40088105726872253,2019-01-16 07:05:00,1.6476609145938803
2019-01-16 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9823788546255507,2019-01-16 09:30:00,-0.6175243950765313
2019-01-16 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.9427312775330399,2019-01-16 23:20:00,-0.30963728018464554
2019-01-17 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.1982378854625551,2019-01-17 07:05:00,1.4871830622635411
2019-01-17 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.49779735682819387,2019-01-17 07:05:00,0.49435786749796123
2019-01-17 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.920704845814978,2019-01-17 09:30:00,-0.264727846699516
2019-01-17 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5506607929515419,2019-01-17 18:20:00,2.271187697630326
2019-01-17 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.5022026431718063,2019-01-17 23:20:00,-0.11056278773206817
2019-01-18 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.24229074889867847,2019-01-18 07:05:00,1.4891212005767096
2019-01-18 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4933920704845815,2019-01-18 07:05:00,0.7089928418362617
2019-01-18 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9559471365638768,2019-01-18 09:30:00,-0.1785637548340889
2019-01-18 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.44933920704845814,2019-01-18 23:20:00,0.05838749779583544
2019-01-19 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.47577092511013214,2019-01-19 07:05:00,0.4019917330303957
2019-01-19 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.1982378854625551,2019-01-19 07:05:00,0.6151869474789139
2019-01-19 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9383259911894275,2019-01-19 09:30:00,0.006611517144052318
2019-01-19 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.49779735682819387,2019-01-19 18:20:00,1.0189288458020687
2019-01-19 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.46255506607929514,2019-01-19 23:20:00,-0.0747349166286417
2019-01-20 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.44933920704845814,2019-01-20 07:05:00,0.08242041287912312
2019-01-20 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.23348017621145373,2019-01-20 07:05:00,1.0821675301917328
2019-01-20 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8766519823788548,2019-01-20 09:30:00,-0.1541985874685441
2019-01-20 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.47577092511013214,2019-01-20 23:20:00,0.722061431605054
2019-01-21 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2775330396475771,2019-01-21 07:05:00,0.2591232516597
2019-01-21 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4933920704845815,2019-01-21 07:05:00,0.26083988845136374
2019-01-21 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.40969162995594716,2019-01-21 09:30:00,0.028152540110409647
2019-01-21 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.5022026431718063,2019-01-21 23:20:00,-0.2708191385409024
2019-01-22 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.3127753303964758,2019-01-22 07:05:00,-0.0649334743020476
2019-01-22 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.48898678414096924,2019-01-22 07:05:00,-0.3352760812988439
2019-01-22 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9779735682819384,2019-01-22 09:30:00,-0.3272466511442894
2019-01-22 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5154185022026432,2019-01-22 18:20:00,0.7773260612205402
2019-01-22 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.841409691629956,2019-01-22 23:20:00,-0.29712244421961564
2019-01-23 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.3788546255506608,2019-01-23 07:05:00,1.109799844999476
2019-01-23 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4845814977973569,2019-01-23 07:05:00,-0.2626789576255952
2019-01-23 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9515418502202644,2019-01-23 09:30:00,-0.2647832220798922
2019-01-23 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.4669603524229075,2019-01-23 23:20:00,-0.28206034075727865
2019-01-24 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.48898678414096924,2019-01-24 07:05:00,0.1455483465080349
2019-01-24 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.1982378854625551,2019-01-24 07:05:00,1.2824602810125878
2019-01-24 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9030837004405288,2019-01-24 09:30:00,0.007829775512329716
2019-01-24 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3127753303964758,2019-01-24 18:20:00,1.931515114402479
2019-01-24 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.39647577092511016,2019-01-24 23:20:00,0.6345129552302212
2019-01-25 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.3920704845814978,2019-01-25 07:05:00,2.285585296528148
2019-01-25 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5110132158590308,2019-01-25 07:05:00,0.8323691893145209
2019-01-25 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8722466960352424,2019-01-25 09:30:00,0.15623579492064926
2019-01-25 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.32158590308370044,2019-01-25 23:20:00,0.7126476169410931
2019-01-26 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.3259911894273128,2019-01-26 07:05:00,1.316405389183222
2019-01-26 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.49779735682819387,2019-01-26 07:05:00,0.8483726742432544
2019-01-26 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9339207048458151,2019-01-26 09:30:00,0.3642257236138008
2019-01-26 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3744493392070484,2019-01-26 18:20:00,1.6619477627309502
2019-01-26 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.44933920704845814,2019-01-26 23:20:00,0.3141110043733052
2019-01-27 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2378854625550661,2019-01-27 07:05:00,1.568307994514731
2019-01-27 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4933920704845815,2019-01-27 07:05:00,0.44651353885289125
2019-01-27 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8810572687224671,2019-01-27 09:30:00,0.4012164777051284
2019-01-27 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.4052863436123348,2019-01-27 23:20:00,3.109183328863943
2019-01-28 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.47577092511013214,2019-01-28 07:05:00,0.11082798301213345
2019-01-28 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.40969162995594716,2019-01-28 07:05:00,1.5851974855294835
2019-01-28 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.894273127753304,2019-01-28 09:30:00,0.933097006218899
2019-01-28 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.5110132158590308,2019-01-28 23:20:00,0.013201187408825001
2019-01-29 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2995594713656388,2019-01-29 07:05:00,1.2622482671752604
2019-01-29 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4537444933920705,2019-01-29 07:05:00,0.07793500706864812
2019-01-29 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8810572687224671,2019-01-29 09:30:00,0.09321861205248988
2019-01-29 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.40088105726872253,2019-01-29 18:20:00,1.5694708775026316
2019-01-29 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.4405286343612335,2019-01-29 23:20:00,-0.029382480100502706
2019-01-30 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.44933920704845814,2019-01-30 07:05:00,-0.02993623390426459
2019-01-30 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.3788546255506608,2019-01-30 07:05:00,1.037534973608485
2019-01-30 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9383259911894275,2019-01-30 09:30:00,0.014474821157478588
2019-01-30 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.9691629955947139,2019-01-30 23:20:00,-0.021519176087076437
2019-01-31 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2995594713656388,2019-01-31 07:05:00,1.0485546743033565
2019-01-31 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4933920704845815,2019-01-31 07:05:00,0.12500408038845084
2019-01-31 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9030837004405288,2019-01-31 09:30:00,0.012038304420923792
2019-01-31 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3259911894273128,2019-01-31 18:20:00,1.3675722406508664
2019-01-31 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.5682819383259912,2019-01-31 23:20:00,1.2748184785206669
2019-02-01 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.46255506607929514,2019-02-01 07:05:00,0.6196169779090127
2019-02-01 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.13656387665198239,2019-02-01 07:05:00,1.9041043011162413
2019-02-01 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9162995594713657,2019-02-01 09:30:00,0.20452312660872876
2019-02-01 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.5991189427312775,2019-02-01 23:20:00,0.5972453242370126
2019-02-02 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.44933920704845814,2019-02-02 07:05:00,0.4694389463286539
2019-02-02 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.1145374449339207,2019-02-02 07:05:00,0.8401217425671947
